placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
fukui-station-east-entrance,Face,2025-02-22 00:00:00,2025-02-22 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-22 01:00:00,2025-02-22 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-22 02:00:00,2025-02-22 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-22 03:00:00,2025-02-22 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-22 04:00:00,2025-02-22 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-22 05:00:00,2025-02-22 06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-22 06:00:00,2025-02-22 07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-22 07:00:00,2025-02-22 08:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-22 08:00:00,2025-02-22 09:00:00,11,0,4,1,0,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-22 09:00:00,2025-02-22 10:00:00,27,0,6,7,2,1,3,1,0,0,0,0,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-22 10:00:00,2025-02-22 11:00:00,57,0,14,7,3,8,1,2,2,0,0,2,4,4,4,1,1,2,2,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-22 11:00:00,2025-02-22 12:00:00,42,0,10,8,2,5,0,5,3,0,0,0,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-22 12:00:00,2025-02-22 13:00:00,48,1,17,7,5,2,2,1,1,1,0,5,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-22 13:00:00,2025-02-22 14:00:00,51,1,14,5,3,3,1,2,1,2,0,5,4,1,5,2,2,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-22 14:00:00,2025-02-22 15:00:00,37,0,14,4,2,3,2,1,0,0,0,3,2,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-22 15:00:00,2025-02-22 16:00:00,43,0,16,2,3,3,4,2,0,0,0,2,2,1,4,1,1,0,1,0,1,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-22 16:00:00,2025-02-22 17:00:00,28,0,8,3,2,3,2,1,0,0,0,2,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-22 17:00:00,2025-02-22 18:00:00,34,1,10,3,2,2,2,1,0,1,0,5,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-22 18:00:00,2025-02-22 19:00:00,17,0,5,1,0,1,0,0,1,0,0,4,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-22 19:00:00,2025-02-22 20:00:00,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-22 20:00:00,2025-02-22 21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-22 21:00:00,2025-02-22 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-22 22:00:00,2025-02-22 23:00:00,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-22 23:00:00,2025-02-23 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
