placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2026-02-14 00:00:00,2026-02-14 01:00:00,0
fukui-station-east-entrance,Person,2026-02-14 01:00:00,2026-02-14 02:00:00,0
fukui-station-east-entrance,Person,2026-02-14 02:00:00,2026-02-14 03:00:00,0
fukui-station-east-entrance,Person,2026-02-14 03:00:00,2026-02-14 04:00:00,0
fukui-station-east-entrance,Person,2026-02-14 04:00:00,2026-02-14 05:00:00,0
fukui-station-east-entrance,Person,2026-02-14 05:00:00,2026-02-14 06:00:00,16
fukui-station-east-entrance,Person,2026-02-14 06:00:00,2026-02-14 07:00:00,153
fukui-station-east-entrance,Person,2026-02-14 07:00:00,2026-02-14 08:00:00,253
fukui-station-east-entrance,Person,2026-02-14 08:00:00,2026-02-14 09:00:00,384
fukui-station-east-entrance,Person,2026-02-14 09:00:00,2026-02-14 10:00:00,567
fukui-station-east-entrance,Person,2026-02-14 10:00:00,2026-02-14 11:00:00,760
fukui-station-east-entrance,Person,2026-02-14 11:00:00,2026-02-14 12:00:00,983
fukui-station-east-entrance,Person,2026-02-14 12:00:00,2026-02-14 13:00:00,722
fukui-station-east-entrance,Person,2026-02-14 13:00:00,2026-02-14 14:00:00,777
fukui-station-east-entrance,Person,2026-02-14 14:00:00,2026-02-14 15:00:00,647
fukui-station-east-entrance,Person,2026-02-14 15:00:00,2026-02-14 16:00:00,902
fukui-station-east-entrance,Person,2026-02-14 16:00:00,2026-02-14 17:00:00,836
fukui-station-east-entrance,Person,2026-02-14 17:00:00,2026-02-14 18:00:00,614
fukui-station-east-entrance,Person,2026-02-14 18:00:00,2026-02-14 19:00:00,438
fukui-station-east-entrance,Person,2026-02-14 19:00:00,2026-02-14 20:00:00,179
fukui-station-east-entrance,Person,2026-02-14 20:00:00,2026-02-14 21:00:00,237
fukui-station-east-entrance,Person,2026-02-14 21:00:00,2026-02-14 22:00:00,142
fukui-station-east-entrance,Person,2026-02-14 22:00:00,2026-02-14 23:00:00,66
fukui-station-east-entrance,Person,2026-02-14 23:00:00,2026-02-15 00:00:00,3
