placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
tojinbo-shotaro,Face,2025-05-31 00:00:00,2025-05-31 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-05-31 01:00:00,2025-05-31 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-05-31 02:00:00,2025-05-31 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-05-31 03:00:00,2025-05-31 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-05-31 04:00:00,2025-05-31 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-05-31 05:00:00,2025-05-31 06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-05-31 06:00:00,2025-05-31 07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-05-31 07:00:00,2025-05-31 08:00:00,5,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-05-31 08:00:00,2025-05-31 09:00:00,5,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-05-31 09:00:00,2025-05-31 10:00:00,6,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-05-31 10:00:00,2025-05-31 11:00:00,15,0,2,2,2,1,3,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-05-31 11:00:00,2025-05-31 12:00:00,25,0,2,1,0,6,0,0,0,0,0,1,3,0,7,2,3,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-05-31 12:00:00,2025-05-31 13:00:00,37,0,11,2,0,1,4,2,2,2,1,2,2,0,1,2,1,2,2,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-05-31 13:00:00,2025-05-31 14:00:00,64,0,10,8,4,6,6,2,5,1,0,2,5,4,6,2,1,1,1,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-05-31 14:00:00,2025-05-31 15:00:00,63,0,17,3,7,14,3,7,3,0,0,2,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-05-31 15:00:00,2025-05-31 16:00:00,47,0,14,8,6,4,1,0,1,1,0,1,1,3,4,1,2,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-05-31 16:00:00,2025-05-31 17:00:00,27,0,7,1,3,3,2,1,0,1,0,1,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-05-31 17:00:00,2025-05-31 18:00:00,4,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-05-31 18:00:00,2025-05-31 19:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-05-31 19:00:00,2025-05-31 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-05-31 20:00:00,2025-05-31 21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-05-31 21:00:00,2025-05-31 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-05-31 22:00:00,2025-05-31 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-05-31 23:00:00,2025-06-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
