placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2025-11-11 00:00:00,2025-11-11 01:00:00,0
tojinbo-shotaro,Person,2025-11-11 01:00:00,2025-11-11 02:00:00,2
tojinbo-shotaro,Person,2025-11-11 02:00:00,2025-11-11 03:00:00,3
tojinbo-shotaro,Person,2025-11-11 03:00:00,2025-11-11 04:00:00,0
tojinbo-shotaro,Person,2025-11-11 04:00:00,2025-11-11 05:00:00,0
tojinbo-shotaro,Person,2025-11-11 05:00:00,2025-11-11 06:00:00,0
tojinbo-shotaro,Person,2025-11-11 06:00:00,2025-11-11 07:00:00,152
tojinbo-shotaro,Person,2025-11-11 07:00:00,2025-11-11 08:00:00,116
tojinbo-shotaro,Person,2025-11-11 08:00:00,2025-11-11 09:00:00,334
tojinbo-shotaro,Person,2025-11-11 09:00:00,2025-11-11 10:00:00,1326
tojinbo-shotaro,Person,2025-11-11 10:00:00,2025-11-11 11:00:00,1295
tojinbo-shotaro,Person,2025-11-11 11:00:00,2025-11-11 12:00:00,1569
tojinbo-shotaro,Person,2025-11-11 12:00:00,2025-11-11 13:00:00,1570
tojinbo-shotaro,Person,2025-11-11 13:00:00,2025-11-11 14:00:00,1468
tojinbo-shotaro,Person,2025-11-11 14:00:00,2025-11-11 15:00:00,1286
tojinbo-shotaro,Person,2025-11-11 15:00:00,2025-11-11 16:00:00,1259
tojinbo-shotaro,Person,2025-11-11 16:00:00,2025-11-11 17:00:00,869
tojinbo-shotaro,Person,2025-11-11 17:00:00,2025-11-11 18:00:00,89
tojinbo-shotaro,Person,2025-11-11 18:00:00,2025-11-11 19:00:00,5
tojinbo-shotaro,Person,2025-11-11 19:00:00,2025-11-11 20:00:00,2
tojinbo-shotaro,Person,2025-11-11 20:00:00,2025-11-11 21:00:00,16
tojinbo-shotaro,Person,2025-11-11 21:00:00,2025-11-11 22:00:00,0
tojinbo-shotaro,Person,2025-11-11 22:00:00,2025-11-11 23:00:00,0
tojinbo-shotaro,Person,2025-11-11 23:00:00,2025-11-12 00:00:00,0
