placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
rainbow-line-parking-lot-1-gate,Face,2024-12-20 00:00:00,2024-12-21 00:00:00,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-21 00:00:00,2024-12-22 00:00:00,50,0,5,5,8,7,3,3,8,1,0,2,0,0,0,2,2,3,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-22 00:00:00,2024-12-23 00:00:00,13,0,0,0,2,5,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-23 00:00:00,2024-12-24 00:00:00,14,0,1,3,2,2,1,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-24 00:00:00,2024-12-25 00:00:00,11,0,0,2,0,0,2,2,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-25 00:00:00,2024-12-26 00:00:00,20,0,1,0,0,1,3,2,4,6,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-26 00:00:00,2024-12-27 00:00:00,9,0,1,0,1,2,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-27 00:00:00,2024-12-28 00:00:00,14,0,0,0,0,3,2,1,2,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-28 00:00:00,2024-12-29 00:00:00,192,0,72,45,16,29,13,8,3,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-29 00:00:00,2024-12-30 00:00:00,179,0,105,20,8,13,2,10,9,6,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-30 00:00:00,2024-12-31 00:00:00,52,0,6,1,3,5,5,7,7,7,0,2,1,1,4,0,2,0,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-31 00:00:00,2025-01-01 00:00:00,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-01-01 00:00:00,2025-01-02 00:00:00,15,0,0,0,2,6,1,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-01-02 00:00:00,2025-01-03 00:00:00,17,0,6,1,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-01-03 00:00:00,2025-01-04 00:00:00,28,0,3,2,7,2,4,4,1,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
