placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-04-22 07:00:00,2025-04-22 07:05:00,25
fukui-station-east-entrance,Person,2025-04-22 07:05:00,2025-04-22 07:10:00,6
fukui-station-east-entrance,Person,2025-04-22 07:10:00,2025-04-22 07:15:00,14
fukui-station-east-entrance,Person,2025-04-22 07:15:00,2025-04-22 07:20:00,18
fukui-station-east-entrance,Person,2025-04-22 07:20:00,2025-04-22 07:25:00,18
fukui-station-east-entrance,Person,2025-04-22 07:25:00,2025-04-22 07:30:00,10
fukui-station-east-entrance,Person,2025-04-22 07:30:00,2025-04-22 07:35:00,20
fukui-station-east-entrance,Person,2025-04-22 07:35:00,2025-04-22 07:40:00,13
fukui-station-east-entrance,Person,2025-04-22 07:40:00,2025-04-22 07:45:00,18
fukui-station-east-entrance,Person,2025-04-22 07:45:00,2025-04-22 07:50:00,8
fukui-station-east-entrance,Person,2025-04-22 07:50:00,2025-04-22 07:55:00,43
fukui-station-east-entrance,Person,2025-04-22 07:55:00,2025-04-22 08:00:00,19
