placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2025-12-02 12:00:00,2025-12-02 12:05:00,51
tojinbo-shotaro,Person,2025-12-02 12:05:00,2025-12-02 12:10:00,92
tojinbo-shotaro,Person,2025-12-02 12:10:00,2025-12-02 12:15:00,75
tojinbo-shotaro,Person,2025-12-02 12:15:00,2025-12-02 12:20:00,82
tojinbo-shotaro,Person,2025-12-02 12:20:00,2025-12-02 12:25:00,80
tojinbo-shotaro,Person,2025-12-02 12:25:00,2025-12-02 12:30:00,136
tojinbo-shotaro,Person,2025-12-02 12:30:00,2025-12-02 12:35:00,76
tojinbo-shotaro,Person,2025-12-02 12:35:00,2025-12-02 12:40:00,51
tojinbo-shotaro,Person,2025-12-02 12:40:00,2025-12-02 12:45:00,58
tojinbo-shotaro,Person,2025-12-02 12:45:00,2025-12-02 12:50:00,58
tojinbo-shotaro,Person,2025-12-02 12:50:00,2025-12-02 12:55:00,78
tojinbo-shotaro,Person,2025-12-02 12:55:00,2025-12-02 13:00:00,59
