placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2026-02-01 00:00:00,2026-02-02 00:00:00,8391
fukui-station-east-entrance,Person,2026-02-02 00:00:00,2026-02-03 00:00:00,5721
fukui-station-east-entrance,Person,2026-02-03 00:00:00,2026-02-04 00:00:00,5669
fukui-station-east-entrance,Person,2026-02-04 00:00:00,2026-02-05 00:00:00,6129
fukui-station-east-entrance,Person,2026-02-05 00:00:00,2026-02-06 00:00:00,5378
fukui-station-east-entrance,Person,2026-02-06 00:00:00,2026-02-07 00:00:00,6511
fukui-station-east-entrance,Person,2026-02-07 00:00:00,2026-02-08 00:00:00,11511
fukui-station-east-entrance,Person,2026-02-08 00:00:00,2026-02-09 00:00:00,11334
fukui-station-east-entrance,Person,2026-02-09 00:00:00,2026-02-10 00:00:00,6960
fukui-station-east-entrance,Person,2026-02-10 00:00:00,2026-02-11 00:00:00,6213
fukui-station-east-entrance,Person,2026-02-11 00:00:00,2026-02-12 00:00:00,7701
fukui-station-east-entrance,Person,2026-02-12 00:00:00,2026-02-13 00:00:00,6262
fukui-station-east-entrance,Person,2026-02-13 00:00:00,2026-02-14 00:00:00,7128
fukui-station-east-entrance,Person,2026-02-14 00:00:00,2026-02-15 00:00:00,8679
fukui-station-east-entrance,Person,2026-02-15 00:00:00,2026-02-16 00:00:00,8707
fukui-station-east-entrance,Person,2026-02-16 00:00:00,2026-02-17 00:00:00,7707
fukui-station-east-entrance,Person,2026-02-17 00:00:00,2026-02-18 00:00:00,7118
fukui-station-east-entrance,Person,2026-02-18 00:00:00,2026-02-19 00:00:00,7368
fukui-station-east-entrance,Person,2026-02-19 00:00:00,2026-02-20 00:00:00,7947
fukui-station-east-entrance,Person,2026-02-20 00:00:00,2026-02-21 00:00:00,8438
fukui-station-east-entrance,Person,2026-02-21 00:00:00,2026-02-22 00:00:00,11502
fukui-station-east-entrance,Person,2026-02-22 00:00:00,2026-02-23 00:00:00,12396
fukui-station-east-entrance,Person,2026-02-23 00:00:00,2026-02-24 00:00:00,12047
fukui-station-east-entrance,Person,2026-02-24 00:00:00,2026-02-25 00:00:00,8694
fukui-station-east-entrance,Person,2026-02-25 00:00:00,2026-02-26 00:00:00,7668
fukui-station-east-entrance,Person,2026-02-26 00:00:00,2026-02-27 00:00:00,8193
fukui-station-east-entrance,Person,2026-02-27 00:00:00,2026-02-28 00:00:00,7856
fukui-station-east-entrance,Person,2026-02-28 00:00:00,2026-03-01 00:00:00,9796
