placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
tojinbo-shotaro,Face,2026-02-01 00:00:00,2026-02-02 00:00:00,96,0,10,12,14,16,9,2,4,1,0,3,4,7,8,2,4,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-02 00:00:00,2026-02-03 00:00:00,35,0,8,4,2,8,0,2,0,0,0,0,2,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-03 00:00:00,2026-02-04 00:00:00,13,0,0,1,0,3,3,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-04 00:00:00,2026-02-05 00:00:00,51,0,2,5,13,8,2,1,1,3,0,1,4,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-05 00:00:00,2026-02-06 00:00:00,72,0,8,7,7,9,3,3,3,1,0,6,7,7,8,1,0,2,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-06 00:00:00,2026-02-07 00:00:00,36,0,7,2,6,5,1,0,1,1,0,2,3,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-07 00:00:00,2026-02-08 00:00:00,113,0,20,10,15,11,4,6,5,1,0,3,9,13,3,7,6,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-08 00:00:00,2026-02-09 00:00:00,10,0,3,2,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tojinbo-shotaro,Face,2026-02-09 00:00:00,2026-02-10 00:00:00,19,0,4,2,4,1,0,1,0,0,0,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-10 00:00:00,2026-02-11 00:00:00,84,0,17,3,6,16,6,1,2,1,0,3,5,5,9,4,3,2,1,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-11 00:00:00,2026-02-12 00:00:00,54,0,11,5,9,5,6,2,0,1,0,1,2,5,5,1,0,1,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-12 00:00:00,2026-02-13 00:00:00,58,0,15,5,11,5,3,1,4,1,0,2,3,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-13 00:00:00,2026-02-14 00:00:00,142,0,30,13,12,13,7,12,7,12,0,8,9,8,5,1,2,2,1,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-14 00:00:00,2026-02-15 00:00:00,217,0,42,18,21,32,21,11,3,5,0,6,12,13,10,11,6,4,2,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-15 00:00:00,2026-02-16 00:00:00,469,1,82,55,44,60,49,17,11,5,0,17,29,35,30,19,4,6,2,0,1,0,1,0,0,1,0,0
tojinbo-shotaro,Face,2026-02-16 00:00:00,2026-02-17 00:00:00,112,0,15,12,9,13,5,6,1,6,0,5,9,12,9,3,3,4,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-17 00:00:00,2026-02-18 00:00:00,124,0,24,5,13,11,7,3,7,4,0,8,9,10,8,7,3,1,3,0,0,1,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-18 00:00:00,2026-02-19 00:00:00,276,0,51,38,44,26,10,7,3,2,0,13,31,25,13,7,4,1,1,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-19 00:00:00,2026-02-20 00:00:00,120,0,23,13,13,13,6,6,3,3,0,8,5,11,8,4,2,0,0,0,0,2,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-20 00:00:00,2026-02-21 00:00:00,175,0,24,20,18,15,16,8,6,2,0,9,11,17,9,10,4,4,1,0,0,0,0,1,0,0,0,0
tojinbo-shotaro,Face,2026-02-21 00:00:00,2026-02-22 00:00:00,287,0,60,33,31,36,20,14,6,1,0,6,11,20,23,13,4,3,5,0,0,0,0,0,1,0,0,0
tojinbo-shotaro,Face,2026-02-22 00:00:00,2026-02-23 00:00:00,633,0,123,89,79,65,31,30,5,1,0,34,45,52,45,23,6,4,1,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-23 00:00:00,2026-02-24 00:00:00,463,1,82,51,48,66,47,21,10,5,0,23,21,23,34,18,6,2,4,0,1,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-24 00:00:00,2026-02-25 00:00:00,250,0,60,28,23,31,9,5,4,6,0,19,18,15,15,9,4,1,3,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-25 00:00:00,2026-02-26 00:00:00,307,1,66,44,43,23,12,4,5,1,0,24,37,21,12,2,7,1,3,0,0,0,0,0,0,1,0,0
tojinbo-shotaro,Face,2026-02-26 00:00:00,2026-02-27 00:00:00,208,0,49,15,21,30,9,7,5,6,0,10,15,13,7,7,5,4,4,0,1,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-27 00:00:00,2026-02-28 00:00:00,559,0,125,83,81,64,20,21,13,4,0,22,55,41,17,5,4,3,0,0,0,1,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-02-28 00:00:00,2026-03-01 00:00:00,152,0,21,7,17,22,10,3,6,1,0,7,8,8,22,14,3,1,0,0,1,0,1,0,0,0,0,0
