placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2026-04-01 00:00:00,2026-04-02 00:00:00,7008
tojinbo-shotaro,Person,2026-04-02 00:00:00,2026-04-03 00:00:00,11309
tojinbo-shotaro,Person,2026-04-03 00:00:00,2026-04-04 00:00:00,12550
tojinbo-shotaro,Person,2026-04-04 00:00:00,2026-04-05 00:00:00,8713
tojinbo-shotaro,Person,2026-04-05 00:00:00,2026-04-06 00:00:00,17188
tojinbo-shotaro,Person,2026-04-06 00:00:00,2026-04-07 00:00:00,10040
tojinbo-shotaro,Person,2026-04-07 00:00:00,2026-04-08 00:00:00,4095
tojinbo-shotaro,Person,2026-04-08 00:00:00,2026-04-09 00:00:00,6606
tojinbo-shotaro,Person,2026-04-09 00:00:00,2026-04-10 00:00:00,6305
tojinbo-shotaro,Person,2026-04-10 00:00:00,2026-04-11 00:00:00,2874
tojinbo-shotaro,Person,2026-04-11 00:00:00,2026-04-12 00:00:00,15692
tojinbo-shotaro,Person,2026-04-12 00:00:00,2026-04-13 00:00:00,17876
tojinbo-shotaro,Person,2026-04-13 00:00:00,2026-04-14 00:00:00,8218
tojinbo-shotaro,Person,2026-04-14 00:00:00,2026-04-15 00:00:00,6455
tojinbo-shotaro,Person,2026-04-15 00:00:00,2026-04-16 00:00:00,4052
tojinbo-shotaro,Person,2026-04-16 00:00:00,2026-04-17 00:00:00,8953
tojinbo-shotaro,Person,2026-04-17 00:00:00,2026-04-18 00:00:00,8772
tojinbo-shotaro,Person,2026-04-18 00:00:00,2026-04-19 00:00:00,15615
tojinbo-shotaro,Person,2026-04-19 00:00:00,2026-04-20 00:00:00,15427
tojinbo-shotaro,Person,2026-04-20 00:00:00,2026-04-21 00:00:00,8512
tojinbo-shotaro,Person,2026-04-21 00:00:00,2026-04-22 00:00:00,6473
tojinbo-shotaro,Person,2026-04-22 00:00:00,2026-04-23 00:00:00,7047
