対象県（富山/石川/福井）,アンケート回答日,居住都道府県,性別,年代,職業,世帯年収,同伴者,宿泊数（全行程）,宿泊エリア（県外）,宿泊エリア（県内）,宿泊数（県内）,１泊目　宿泊先,１泊目　食事プラン,２泊目　宿泊先,２泊目　食事プラン,３泊目　宿泊先,３泊目　食事プラン,４泊目　宿泊先,４泊目　食事プラン,交通手段１（目的地まで）,自家用車,レンタカー,新幹線,在来線,飛行機,旅行会社ツアーバス,県外から訪れていない（福井県在住）,交通手段２（目的地から）,タクシー,路線バス,徒歩,レンタサイクル,交通の満足度,交通の満足度の理由,来県回数（観光）,エリアへの訪問回数,施設への訪問回数,目的,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,その他の目的,情報源,Facebook,Google,Googleマップ,Instagram,TikTok,X（旧Twitter）,YouTube,SNS広告,ブログ,まとめサイト,インターネット・アプリ,デジタルニュース,宿泊予約Webサイト,宿泊施設,TV・ラジオ番組やCM,ラブライブのスタンプラリー,新聞・雑誌・ガイドブック,旅行会社,友人・知人,地元の人,観光パンフレット・ポスター,観光案内所,観光展・物産展,観光連盟やDMOのHP,その他,他を検討した？,どこと比較した？（県）,どこと比較した？（観光地）,交通費,飲食費,宿泊費,買い物費,施設orエリア消費総額,観光費,訪問場所,寿司,ます寿司,海の幸食べたか,海の幸感動,満足度（食べ物・料理）,満足度（宿泊施設）,満足度（買い物（工芸品・特産品など））,満足度（観光・体験）,満足度（旅行全体）,満足度（商品・サービス）,満足度理由(サービス),満足度理由,不便に感じたこと・困ったこと,最も幸せを感じた食べ物,最も幸せを感じた観光・体験,おすすめ度,再訪意向,自由意見,回答場所,個人情報保護の方針について,アンケート前に訪れた主な場所（施設やスポット名称、エリアなど）,上記名称リストにない場合について、具体的にお答えください。(前),アンケート後に訪れる予定の場所（施設やスポット名称、エリア）,上記名称リストにない場合について、具体的にお答えください。(後),会員ID,登録エリア,生まれ年,回答時の年齢,UA(UserAgent),回答月,回答エリア2,DMO,推奨項目
石川,2026/01/08 0:31:16,静岡県,男,1991,,600万円以上 700万円未満,自分ひとり,4泊以上,フェリー、山口、兵庫、福井,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,2泊,,,,,,,,,自家用車,1,0,0,0,0,0,0,,0,0,0,0,,,,,2～5回目,"地元の美味しいものを食べる, 名所、旧跡の観光, テーマパーク（遊園地、動物園、博物館など）, まちあるき、都市散策, スタンプラリー",0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,"インターネット・アプリ, X(旧：Twitter)",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"20,000円以上 30,000円未満",,使わない,,,,,,,,,,,5,4,全般的に清掃が行き届いていた,クリスマスの飾り付けがあり、季節感を感じられた,,,,7,また行きたい（1年以内）,○飲食に際し、「石川県産」とそうでないものの区別がつきづらいため、県産ブランドを強調するロゴ等があればわかりやすいと感じた。　○引き続きラブライブコラボを定期的に実施して頂きたい 県立歴史博物館が旧軍の施設であったと知り、周辺の他施設と併せて、状態の良い戦跡・遺構として探索するのも面白そうだと感じた。,石川県政記念しいのき迎賓館,同意する,,県立図書館,,,,,1991,,,,,,
石川,2026/02/01 15:35:47,東京都,男,1983,,"1,000万円以上 1,200万円未満",小学生以下連れの家族,1泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,1泊,,,,,,,,,飛行機,0,0,0,0,1,0,0,,0,0,0,0,5,時間とおりに移動できるから,,,初めて,"温泉や露天風呂, 名所、旧跡の観光",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック, インターネット・アプリ, X(旧：Twitter), 友人・知人",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,,,,"10,000円以上 20,000円未満",,"1,000円未満",,,,,,,,,,,5,4,雪の風景に風情があったため,,,,,9,機会があれば行きたい,特になし 観光だけでなく、,天然温泉加賀の湧泉　ドーミーイン金沢,同意する,,,,兼六園,,,1983,,,,,,
石川,2026/01/01 8:17:59,神奈川県,男,1963,,700万円以上 800万円未満,自分ひとり,4泊以上,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,4泊以上,,,,,,,,,飛行機,0,0,0,0,1,0,0,,0,0,0,0,5,,,,2～5回目,"宿でのんびり過ごす, 地元の美味しいものを食べる, まちあるき、都市散策",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,インターネット・アプリ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"50,000円以上 100,000円未満",,"1,000円以上 3,000円未満",,,,,,,,,,,5,5,,,,,,8,また行きたい（1年以内）,海産物,ガーデンホテル金沢,同意する,,,,,,,1963,,,,,,
石川,2026/01/01 9:31:02,兵庫県,その他,1976,,"1,200万円以上 1,500万円未満",中学生以上連れの家族,1泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,1泊,,,,,,,,,自家用車,1,0,0,0,0,0,0,,0,0,0,0,3,公共交通機関は充実しているとはいえないため。特に北鉄バスはICOCAやPASMOなど使えないのは相当いただけない。,,,11回目以上,友人・親戚を訪ねる,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ, X(旧：Twitter), Instagram, Facebook",1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"5,000円以上 10,000円未満",,"5,000円以上 10,000円未満",,,,,,,,,,,2,3,,全体的に古さ,,,,5,どちらともいえない,特になし,金沢国際ホテル,同意する,,,,,,,1976,,,,,,
石川,2026/01/01 10:30:38,長野県,男,1970,,700万円以上 800万円未満,自分ひとり,3泊,富山県,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,2泊,,,,,,,,,自家用車,1,0,0,0,0,0,0,,0,0,0,0,,,,,初めて,"宿でのんびり過ごす, 温泉や露天風呂, 帰省",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,インターネット・アプリ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"20,000円以上 30,000円未満",,"20,000円以上 30,000円未満",,,,,,,,,,,3,4,部屋,部屋,,,,7,また行きたい（1年以内）,海鮮,金沢国際ホテル,同意する,,観光なし,,観光なし,,,1970,,,,,,
石川,2026/01/01 10:50:26,沖縄県,女,1976,,"1,000万円以上 1,200万円未満",恋人,4泊以上,富山、新潟、群馬、東京、埼玉,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,1泊,,,,,,,,,"レンタカー, 飛行機",0,1,0,0,1,0,0,,0,0,0,0,4,駐車場が狭い,,,初めて,"温泉や露天風呂, 地元の美味しいものを食べる",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Instagram,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"50,000円以上 100,000円未満",,"20,000円以上 30,000円未満",,,,,,,,,,,5,5,おもてなしが素晴らしい。年越しそば、初詣、餅つき、とても良かったです。,古いけど、エレベーターがすぐきた。トイレについてたの電話がレトロすぎてウケた。,,,,8,機会があれば行きたい,能登牛 忍者寺,金沢国際ホテル,同意する,,忍者寺、忍者ミュージアム,,,,,1976,,,,,,
石川,2026/01/01 11:21:33,静岡県,女,1980,,"900万円以上 1,000万円未満",小学生以下連れの家族,3泊,石川県外には泊まらない,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,3泊,,,,,,,,,自家用車,1,0,0,0,0,0,0,,0,0,0,0,4,,,,初めて,"地元の美味しいものを食べる, まちあるき、都市散策",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,インターネット・アプリ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"5,000円以上 10,000円未満",,"5,000円以上 10,000円未満",,,,,,,,,,,5,5,,,,,,5,また行きたい（1年以内）,古きを残して欲しい,長町武家屋敷休憩館,同意する,,忍者寺,,,,,1980,,,,,,
石川,2026/01/01 11:31:03,兵庫県,女,2003,,100万円未満,恋人,2泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,2泊,,,,,,,,,新幹線,0,0,1,0,0,0,0,,0,0,0,0,5,,,,2～5回目,"宿でのんびり過ごす, 地元の美味しいものを食べる, お祭りやイベントへの参加・見物",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"観光展・物産展, TV・ラジオ番組やCM, インターネット・アプリ, Instagram, Facebook",1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,"20,000円以上 30,000円未満",,"3,000円以上 5,000円未満",,,,,,,,,,,5,5,,,,,,10,また行きたい（1年以内）,石川県の伝統についてより深く知りたいと思いました。,金沢駅,同意する,,,,,,,2003,,,,,,
石川,2026/01/01 12:10:08,千葉県,女,1974,,300万円以上 400万円未満,自分ひとり,4泊以上,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,4泊以上,,,,,,,,,新幹線,0,0,1,0,0,0,0,,0,0,0,0,,,,,11回目以上,"地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策, 初詣",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック, インターネット・アプリ, Instagram",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,"10,000円以上 20,000円未満",,"1,000円未満",,,,,,,,,,,5,5,お城ビューでお茶がいただけるため,トイレや施設がキレイでゆっくりできるため,,,,10,また行きたい（1年以内）,素晴らしい事ばかりで求める事はないです。 冬の風物詩「こもがけ」や金沢城公園や兼六園雪吊りは季節感を感じられて、大切に守りながらも魅せられる美しさは他にはない文化だと思います。帰宅しましたら金沢にしかない魅力を皆さんにお伝えしてお連れしたいです。,金沢城公園,同意する,,玉泉院丸庭園,,金沢城公園内を散策,,,1974,,,,,,
石川,2026/01/01 13:16:52,富山県,女,1992,,500万円以上 600万円未満,自分ひとり,4泊以上,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,4泊以上,,,,,,,,,在来線,0,0,0,1,0,0,0,,0,0,0,0,4,バスの遅延がやはりあるなぁという印象でした。年末年始なので道が混んでいるので仕方ないのかなと思います。,,,初めて,友人・親戚を訪ねる,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,友人・知人,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,"5,000円以上 10,000円未満",,"1,000円以上 3,000円未満",,,,,,,,,,,5,5,新年のお参りができた。素敵なお守りに出会えた。,,,,,8,また行きたい（1年以内）,手軽に食べれる郷土料理,金沢中央観光案内所,同意する,,,,尾崎神社,,,1992,,,,,,
