Month,Visitor_Count,Source_File,Sheet,Month_Label
2024-01-01,1444930,2024年（令和6年）1月~ 12月分（年の確定値）集計結果.xlsx,参考第1表(1月),2024-01
2024-02-01,1832870,2024年（令和6年）1月~ 12月分（年の確定値）集計結果.xlsx,参考第1表(2月),2024-02
2024-03-01,1352870,2024年（令和6年）1月~ 12月分（年の確定値）集計結果.xlsx,参考第1表(3月),2024-03
2024-04-01,1748120,2024年（令和6年）1月~ 12月分（年の確定値）集計結果.xlsx,参考第1表(4月),2024-04
2024-05-01,1850150,2024年（令和6年）1月~ 12月分（年の確定値）集計結果.xlsx,参考第1表(5月),2024-05
2024-06-01,2467820,2024年（令和6年）1月~ 12月分（年の確定値）集計結果.xlsx,参考第1表(6月),2024-06
2024-07-01,3068290,2024年（令和6年）1月~ 12月分（年の確定値）集計結果.xlsx,参考第1表(7月),2024-07
2024-08-01,2843930,2024年（令和6年）1月~ 12月分（年の確定値）集計結果.xlsx,参考第1表(8月),2024-08
2024-09-01,2053750,2024年（令和6年）1月~ 12月分（年の確定値）集計結果.xlsx,参考第1表(9月),2024-09
2024-10-01,2140390,2024年（令和6年）1月~ 12月分（年の確定値）集計結果.xlsx,参考第1表(10月),2024-10
2024-11-01,1946360,2024年（令和6年）1月~ 12月分（年の確定値）集計結果.xlsx,参考第1表(11月),2024-11
2024-12-01,2445180,2024年（令和6年）1月~ 12月分（年の確定値）集計結果.xlsx,参考第1表(12月),2024-12
2025-01-01,3447490,2025年（令和7年）1月~12月分（年間の速報値) 集計結果.xlsx,参考第1表(1月),2025-01
2025-02-01,2890000,2025年（令和7年）1月~12月分（年間の速報値) 集計結果.xlsx,参考第1表(2月),2025-02
2025-03-01,2106240,2025年（令和7年）1月~12月分（年間の速報値) 集計結果.xlsx,参考第1表(3月),2025-03
2025-04-01,2378320,2025年（令和7年）1月~12月分（年間の速報値) 集計結果.xlsx,参考第1表(4月),2025-04
2025-05-01,2442710,2025年（令和7年）1月~12月分（年間の速報値) 集計結果.xlsx,参考第1表(5月),2025-05
2025-06-01,2661080,2025年（令和7年）1月~12月分（年間の速報値) 集計結果.xlsx,参考第1表(6月),2025-06
2025-07-01,3182880,2025年（令和7年）1月~12月分（年間の速報値) 集計結果.xlsx,参考第1表(7月),2025-07
2025-08-01,3387470,2025年（令和7年）1月~12月分（年間の速報値) 集計結果.xlsx,参考第1表(8月),2025-08
2025-09-01,2047880,2025年（令和7年）1月~12月分（年間の速報値) 集計結果.xlsx,参考第1表(9月),2025-09
2025-10-01,2478800,2025年（令和7年）1月~12月分（年間の速報値) 集計結果.xlsx,参考第1表(10月),2025-10
2025-11-01,1818810,2025年（令和7年）1月~12月分（年間の速報値) 集計結果.xlsx,参考第1表(11月),2025-11
2025-12-01,1555610,2025年（令和7年）1月~12月分（年間の速報値) 集計結果.xlsx,参考第1表(12月),2025-12
